,database_name,table_name,original_column_name,llm_column_description,data_format
404,european_football_2,Match,away_player_X1,The away player X1 in the match.,
405,european_football_2,Match,away_player_X2,The away player X2 in the match.,
406,european_football_2,Match,away_player_X3,The away player X3 in the match.,
407,european_football_2,Match,away_player_X4,The away player X4 in the match.,
408,european_football_2,Match,away_player_X5,The away player X5 in the match.,
409,european_football_2,Match,away_player_X6,The away player X6 in the match.,
410,european_football_2,Match,away_player_X7,The away player X7 in the match.,
411,european_football_2,Match,away_player_X8,The away player X8 in the match.,
412,european_football_2,Match,away_player_X9,The away player X9 in the match.,
413,european_football_2,Match,away_player_X10,The away player X10 in the match.,
414,european_football_2,Match,away_player_X11,The away player X11 in the match.,
415,european_football_2,Match,home_player_Y1,The home player Y1 in the match.,
416,european_football_2,Match,home_player_Y2,The home player Y2 in the match.,
417,european_football_2,Match,home_player_Y3,The home player Y3 in the match.,
418,european_football_2,Match,home_player_Y4,The home player Y4 in the match.,
419,european_football_2,Match,home_player_Y5,The home player Y5 in the match.,
420,european_football_2,Match,home_player_Y6,The home player Y6 in the match.,
421,european_football_2,Match,home_player_Y7,The home player Y7 in the match.,
422,european_football_2,Match,home_player_Y8,The home player Y8 in the match.,
423,european_football_2,Match,home_player_Y9,The home player Y9 in the match.,
424,european_football_2,Match,home_player_Y10,The home player Y10 in the match.,
425,european_football_2,Match,home_player_Y11,The home player Y11 in the match.,
426,european_football_2,Match,away_player_Y1,The away player Y1 in the match.,
427,european_football_2,Match,away_player_Y2,The away player Y2 in the match.,
428,european_football_2,Match,away_player_Y3,The away player Y3 in the match.,
429,european_football_2,Match,away_player_Y4,The away player Y4 in the match.,
430,european_football_2,Match,away_player_Y5,The away player Y5 in the match.,
431,european_football_2,Match,away_player_Y6,The away player Y6 in the match.,
432,european_football_2,Match,away_player_Y7,The away player Y7 in the match.,
433,european_football_2,Match,away_player_Y8,The away player Y8 in the match.,
434,european_football_2,Match,away_player_Y9,The away player Y9 in the match.,
435,european_football_2,Match,away_player_Y10,The away player Y10 in the match.,
436,european_football_2,Match,away_player_Y11,The away player Y11 in the match.,
437,european_football_2,Match,home_player_1,The ID of the first home player in the match.,
438,european_football_2,Match,home_player_2,The player ID of the second home team player in the match.,
439,european_football_2,Match,home_player_3,The ID of the third home player in the match.,
440,european_football_2,Match,home_player_4,The ID of the fourth home player in the match.,
441,european_football_2,Match,home_player_5,The ID of the fifth home player in the match.,
442,european_football_2,Match,home_player_6,The ID of the sixth player in the home team in the match.,
443,european_football_2,Match,home_player_7,The ID of the seventh player in the home team in the match.,
444,european_football_2,Match,home_player_8,The ID of the eighth player in the home team in the match.,
445,european_football_2,Match,home_player_9,The ID of the ninth player on the home team in the match.,
446,european_football_2,Match,home_player_10,The ID of the 10th player in the home team in the match.,
447,european_football_2,Match,home_player_11,The ID of the 11th player in the home team in the match.,
448,european_football_2,Match,away_player_1,The ID of the first away team player in the match.,
449,european_football_2,Match,away_player_2,The ID of the second away team player in the match.,
450,european_football_2,Match,away_player_3,The player ID of the third away team player in the match.,
451,european_football_2,Match,away_player_4,The ID of the fourth away player in the match.,
452,european_football_2,Match,away_player_5,The ID of the fifth away team player in the match.,
453,european_football_2,Match,away_player_6,The ID of the sixth away player in the match.,
454,european_football_2,Match,away_player_7,The ID of the seventh away player in the match.,
455,european_football_2,Match,away_player_8,The ID of the eighth away player in the match.,
456,european_football_2,Match,away_player_9,The ID of the ninth away player in the match.,
457,european_football_2,Match,away_player_10,The ID of the 10th away player in the match.,
458,european_football_2,Match,away_player_11,The ID of the 11th player on the away team in the match.,
459,european_football_2,Match,goal,Information of the goals in the match in XML format.,text
460,european_football_2,Match,shoton,The number of shots on goal during the match.,text
461,european_football_2,Match,shotoff,The number of shots that were off target during the match.,text
462,european_football_2,Match,foulcommit,The fouls committed during the match.,text
463,european_football_2,Match,card,Details about the cards given in the match.,text
464,european_football_2,Match,cross,The number of balls sent into the opposition team's area from a wide position.,text
465,european_football_2,Match,corner,Number of corner kicks in the match.,text
466,european_football_2,Match,possession,Information on the possession is in the match in XML format.,text
467,european_football_2,Match,B365H,The home win odds from Bet365.,
468,european_football_2,Match,B365D,The draw odds provided by Bet365.,
469,european_football_2,Match,B365A,The betting odds for an away team win from Bet365.,
470,european_football_2,Match,BWH,The BWH column represents the home win odds provided by the Bet&Win (BWin) bookmaker.,
471,european_football_2,Match,BWD,The draw odds provided by Bet&Win (BWin) for the match.,
472,european_football_2,Match,BWA,The betting odds for an away team win from Bet&Win (BWin) for the match.,
473,european_football_2,Match,IWH,The IWH column represents the home win odds provided by the betting company Interwetten.,
474,european_football_2,Match,IWD,The draw odds from Interwetten.,
475,european_football_2,Match,IWA,The IWA column represents the odds for an away team win provided by the Interwetten betting company.,
476,european_football_2,Match,LBH,The home win odds from the betting company Ladbrokes.,
477,european_football_2,Match,LBD,The draw odds from the betting company Ladbrokes.,
478,european_football_2,Match,LBA,The LBA column represents the betting odds for an away team win provided by the betting company LB.,
479,european_football_2,Match,PSH,The home win odds from Pinnacle Sports.,
480,european_football_2,Match,PSD,The draw odds from Pinnacle Sports.,
481,european_football_2,Match,PSA,The odds for an away team win from the betting company Pinnacle Sports.,
482,european_football_2,Match,WHH,The home win odds from William Hill.,
483,european_football_2,Match,WHD,The draw odds from William Hill.,
484,european_football_2,Match,WHA,The odds offered by William Hill for an away team win.,
485,european_football_2,Match,SJH,The odds for a home win from the Stan James bookmaker.,
486,european_football_2,Match,SJD,The odds for a draw according to the Stan James betting company.,
487,european_football_2,Match,SJA,The SJA column represents the odds offered by the betting company Stan James for an away team win.,
488,european_football_2,Match,VCH,The odds for a home win from the VC Bet bookmaker.,
489,european_football_2,Match,VCD,The odds for a draw according to the VC Bet betting company.,
490,european_football_2,Match,VCA,The odds for an away team win from the betting company VC Bet.,
491,european_football_2,Match,GBH,The home win odds from Gamebookers.,
492,european_football_2,Match,GBD,The draw odds from Gamebookers.,
493,european_football_2,Match,GBA,The odds offered by Gamebookers for an away team win.,
494,european_football_2,Match,BSH,The home win odds from Blue Square.,
495,european_football_2,Match,BSD,The draw odds from Blue Square.,
496,european_football_2,Match,BSA,The odds offered by Blue Square for an away team win.,
497,european_football_2,League,id,This is the unique identifier for each league.,integer
498,european_football_2,League,country_id,This is the unique identifier for the country associated with the league.,integer
499,european_football_2,League,name,The name of the league.,text
500,european_football_2,Country,id,This is the unique identifier for each country.,integer
501,european_football_2,Country,name,The name of the country.,text
502,european_football_2,Player_Attributes,id,Unique identifier for each player attribute record.,integer
503,european_football_2,Player_Attributes,player_fifa_api_id,The unique identifier for a player in the FIFA API.,integer
504,european_football_2,Player_Attributes,player_api_id,The unique identifier for the player in the API.,integer
505,european_football_2,Player_Attributes,date,The date when the player's attributes were recorded.,text
506,european_football_2,Player_Attributes,overall_rating,The overall rating of the player.,integer
507,european_football_2,Player_Attributes,potential,The potential rating of the player.,integer
508,european_football_2,Player_Attributes,preferred_foot,The player's preferred foot for playing when attacking.,text
509,european_football_2,Player_Attributes,attacking_work_rate,The player's attacking work rate.,text
510,european_football_2,Player_Attributes,defensive_work_rate,The player's defensive work rate.,text
511,european_football_2,Player_Attributes,crossing,The player's crossing ability score.,integer
512,european_football_2,Player_Attributes,finishing,The player's ability to finish scoring opportunities.,integer
513,european_football_2,Player_Attributes,heading_accuracy,The player's accuracy in heading the ball.,integer
514,european_football_2,Player_Attributes,short_passing,The player's short passing ability score.,integer
515,european_football_2,Player_Attributes,volleys,The player's volley score.,integer
516,european_football_2,Player_Attributes,dribbling,The player's dribbling ability score.,integer
517,european_football_2,Player_Attributes,curve,The player's ability to curve the ball.,integer
518,european_football_2,Player_Attributes,free_kick_accuracy,The player's accuracy in taking free kicks.,integer
519,european_football_2,Player_Attributes,long_passing,The player's long passing score.,integer
520,european_football_2,Player_Attributes,ball_control,The player's ball control score.,integer
521,european_football_2,Player_Attributes,acceleration,The player's acceleration score.,integer
522,european_football_2,Player_Attributes,sprint_speed,The player's sprint speed.,integer
523,european_football_2,Player_Attributes,agility,The player's agility rating.,integer
524,european_football_2,Player_Attributes,reactions,The player's reactions score.,integer
525,european_football_2,Player_Attributes,balance,The player's balance score.,integer
526,european_football_2,Player_Attributes,shot_power,The player's shot power rating.,integer
527,european_football_2,Player_Attributes,jumping,The player's jumping ability score.,integer
528,european_football_2,Player_Attributes,stamina,The player's stamina score.,integer
529,european_football_2,Player_Attributes,strength,The player's strength score.,integer
530,european_football_2,Player_Attributes,long_shots,The player's long shots score.,integer
531,european_football_2,Player_Attributes,aggression,The player's aggression score.,integer
532,european_football_2,Player_Attributes,interceptions,The player's ability to intercept passes.,integer
533,european_football_2,Player_Attributes,positioning,The player's positioning score.,integer
534,european_football_2,Player_Attributes,vision,The player's vision score.,integer
535,european_football_2,Player_Attributes,penalties,The player's penalties score.,integer
536,european_football_2,Player_Attributes,marking,The player's marking score.,integer
537,european_football_2,Player_Attributes,standing_tackle,The player's ability to perform standing tackles.,integer
538,european_football_2,Player_Attributes,sliding_tackle,The player's sliding tackle score.,integer
539,european_football_2,Player_Attributes,gk_diving,The player's goalkeeping diving ability score.,integer
540,european_football_2,Player_Attributes,gk_handling,The player's goalkeeping handling score.,integer
541,european_football_2,Player_Attributes,gk_kicking,The player's goalkeeping kicking score.,integer
542,european_football_2,Player_Attributes,gk_positioning,The player's goalkeeper positioning score.,integer
543,european_football_2,Player_Attributes,gk_reflexes,The player's goalkeeping reflexes score.,integer
544,european_football_2,Team,id,This is the unique identifier for each team.,integer
545,european_football_2,Team,team_api_id,The unique identifier for the team in the API.,integer
546,european_football_2,Team,team_fifa_api_id,The unique identifier for the team in the FIFA API.,integer
547,european_football_2,Team,team_long_name,The full name of the team.,text
548,european_football_2,Team,team_short_name,The abbreviated name of the team.,text
549,european_football_2,Team_Attributes,id,Unique identifier for each team attribute record.,integer
550,european_football_2,Team_Attributes,team_fifa_api_id,The unique identifier for the team in the FIFA API.,integer
551,european_football_2,Team_Attributes,team_api_id,The unique identifier for the team in the API.,integer
552,european_football_2,Team_Attributes,date,The date when the team attributes were recorded.,text
553,european_football_2,Team_Attributes,buildUpPlaySpeed,The score of the build up play speed for the team.,integer
554,european_football_2,Team_Attributes,buildUpPlaySpeedClass,This is the classification of the team's build-up play speed.,text
555,european_football_2,Team_Attributes,buildUpPlayDribbling,The tendency or frequency of dribbling during build-up play for the team.,integer
556,european_football_2,Team_Attributes,buildUpPlayDribblingClass,The dribbling class during the build-up play for the team.,text
557,european_football_2,Team_Attributes,buildUpPlayPassing,The build up play passing score for the team.,integer
558,european_football_2,Team_Attributes,buildUpPlayPassingClass,The passing style used by the team during the build-up play.,text
559,european_football_2,Team_Attributes,buildUpPlayPositioningClass,The degree of organization or freedom of movement a team has in the first two-thirds of the pitch during build-up play.,text
560,european_football_2,Team_Attributes,chanceCreationPassing,The score of the team's passing strategy during chance creation.,integer
561,european_football_2,Team_Attributes,chanceCreationPassingClass,The classification of the team's passing strategy during chance creation.,text
562,european_football_2,Team_Attributes,chanceCreationCrossing,The score of the team's crosses into the box during chance creation.,integer
563,european_football_2,Team_Attributes,chanceCreationCrossingClass,The classification of the team's crosses into the box during chance creation.,text
564,european_football_2,Team_Attributes,chanceCreationShooting,The frequency of shooting opportunities created by the team.,integer
565,european_football_2,Team_Attributes,chanceCreationShootingClass,This is the classification of the team's shooting strategy during chance creation.,text
566,european_football_2,Team_Attributes,chanceCreationPositioningClass,A team's strategy for player positioning during attacking plays.,text
567,european_football_2,Team_Attributes,defencePressure,Indicates the level of pressure applied by the team's defense.,integer
568,european_football_2,Team_Attributes,defencePressureClass,The classification of the team's defensive pressure strategy.,text
569,european_football_2,Team_Attributes,defenceAggression,The level of aggression in a team's defensive tactics.,integer
570,european_football_2,Team_Attributes,defenceAggressionClass,The classification of a team's defensive aggression level.,text
571,european_football_2,Team_Attributes,defenceTeamWidth,The width of the team's defensive formation.,integer
572,european_football_2,Team_Attributes,defenceTeamWidthClass,The classification of the team's defensive width strategy.,text
573,european_football_2,Team_Attributes,defenceDefenderLineClass,Classification of the defensive line strategy.,text
574,thrombosis_prediction,Examination,ID,The unique identifier for the patient that has been examined.,integer
575,thrombosis_prediction,Examination,Examination Date,The date when the examination was conducted.,date
576,thrombosis_prediction,Examination,aCL IgG,This is the concentration of anti-Cardiolipin antibody (IgG) observed in the examination of the patient.,real
577,thrombosis_prediction,Examination,aCL IgM,The anti-Cardiolipin antibody (IgM) concentration observed in the examination of the patient.,real
578,thrombosis_prediction,Examination,ANA,The concentration of anti-nucleus antibodies observed in the examination of the patient.,integer
579,thrombosis_prediction,Examination,ANA Pattern,The pattern observed in the ANA examination.,text
580,thrombosis_prediction,Examination,aCL IgA,The concentration of anti-Cardiolipin antibody (IgA) observed in the examination of the patient.,integer
581,thrombosis_prediction,Examination,Diagnosis,The diagnosis given after the examination of the patient.,text
582,thrombosis_prediction,Examination,KCT,The measure of degree of coagulation observed in the examination of the patient.,text
583,thrombosis_prediction,Examination,RVVT,This is a measure of the degree of coagulation observed in the examination of the patient.,text
584,thrombosis_prediction,Examination,LAC,The presence of lupus anticoagulant (LAC) observed in the examination of the patient.,text
585,thrombosis_prediction,Examination,Symptoms,Details about other symptoms observed in the examination of the patient.,text
586,thrombosis_prediction,Examination,Thrombosis,The degree of thrombosis observed in the examination of the patient.,integer
587,thrombosis_prediction,Laboratory,ID,Identification of the patient assosiated with the laboratory test.,integer
588,thrombosis_prediction,Laboratory,Date,The date of the laboratory tests.,date
589,thrombosis_prediction,Laboratory,GOT,The AST glutamic oxaloacetic transaminase level observed in the laboratory test.,integer
590,thrombosis_prediction,Laboratory,GPT,The level of ALT glutamic pyruvic transaminase observed in the laboratory test.,integer
591,thrombosis_prediction,Laboratory,LDH,This is the lactate dehydrogenase level observed in the laboratory test.,integer
592,thrombosis_prediction,Laboratory,ALP,The level of alkaline phosphatase enzyme observed in the laboratory test.,integer
593,thrombosis_prediction,Laboratory,TP,The total protein level in the blood observed in the laboratory test.,real
594,thrombosis_prediction,Laboratory,ALB,The concentration of albumin in the blood observed in the laboratory test.,real
595,thrombosis_prediction,Laboratory,UA,The uric acid level observed in the laboratory test.,real
596,thrombosis_prediction,Laboratory,UN,The concentration of urea nitrogen in the blood observed in the laboratory test.,integer
597,thrombosis_prediction,Laboratory,CRE,The creatinine level in the blood observed in the laboratory test.,real
598,thrombosis_prediction,Laboratory,T-BIL,The total bilirubin level in the blood observed in the laboratory test.,real
599,thrombosis_prediction,Laboratory,T-CHO,The total cholesterol level observed in the laboratory test.,integer
600,thrombosis_prediction,Laboratory,TG,This is the triglyceride level observed in the laboratory test.,integer
601,thrombosis_prediction,Laboratory,CPK,Creatinine phosphokinase levels observed in the laboratory test.,integer
602,thrombosis_prediction,Laboratory,GLU,The blood glucose level observed in the laboratory test.,integer
603,thrombosis_prediction,Laboratory,WBC,White blood cell count observed in the laboratory test.,real
604,thrombosis_prediction,Laboratory,RBC,The count of red blood cells observed in the laboratory test.,real
605,thrombosis_prediction,Laboratory,HGB,The hemoglobin level in the blood observed in the laboratory test.,real
606,thrombosis_prediction,Laboratory,HCT,The percentage of red blood cells in the blood observed in the laboratory test.,real
607,thrombosis_prediction,Laboratory,PLT,The platelet count observed in the laboratory test.,integer
608,thrombosis_prediction,Laboratory,PT,The prothrombin time observed in the laboratory test.,real
609,thrombosis_prediction,Laboratory,APTT,The activated partial prothrombin time observed in the laboratory test.,integer
610,thrombosis_prediction,Laboratory,FG,The fibrinogen level observed in the laboratory test.,real
611,thrombosis_prediction,Laboratory,PIC,The PIC observed in the laboratory test.,
612,thrombosis_prediction,Laboratory,TAT,The turnaround time (TAT) observed in the laboratory test.,
613,thrombosis_prediction,Laboratory,TAT2,The TAT2 observed in the laboratory test.,
614,thrombosis_prediction,Laboratory,U-PRO,The presence of protein in urine observed in the patient's laboratory test.,text
615,thrombosis_prediction,Laboratory,IGG,The IgG level observed in the patient's laboratory test.,integer
616,thrombosis_prediction,Laboratory,IGA,The Ig A level observed in the patient's laboratory test.,integer
617,thrombosis_prediction,Laboratory,IGM,The IgM level observed in the patient's laboratory test.,integer
618,thrombosis_prediction,Laboratory,CRP,C-reactive protein observed in the patient's laboratory test.,text
619,thrombosis_prediction,Laboratory,RA,The Rhuematoid Athritis indicator observed in the laboratory test.,text
620,thrombosis_prediction,Laboratory,RF,The Rhuematoid Factor observed in the laboratory test.,text
621,thrombosis_prediction,Laboratory,C3,The level of complement 3 protein in the blood observed in the patient's laboratory test.,integer
622,thrombosis_prediction,Laboratory,C4,The level of complement 4 in the blood observed in the patient's laboratory test.,integer
623,thrombosis_prediction,Laboratory,RNP,The anti-ribonuclear protein levels observed in the patient's laboratory test.,text
624,thrombosis_prediction,Laboratory,SM,The presence of anti-SM antibodies observed in the patient's laboratory test.,text
625,thrombosis_prediction,Laboratory,SC170,The presence of anti-scl70 antibodies observed in the patient's laboratory test.,text
626,thrombosis_prediction,Laboratory,SSA,The anti-SSA antibody levels observed in the patient's laboratory test.,text
627,thrombosis_prediction,Laboratory,SSB,The presence of anti-SSB antibodies observed in the patient's laboratory test.,text
628,thrombosis_prediction,Laboratory,CENTROMEA,The presence of anti-centromere antibodies observed in the patient's laboratory test.,text
629,thrombosis_prediction,Laboratory,DNA,The anti-DNA levels observed in the patient's laboratory test.,text
630,thrombosis_prediction,Laboratory,DNA-II,The anti-DNA level measured in the patient's laboratory tests.,integer
631,thrombosis_prediction,Patient,ID,This is the unique identifier for each patient.,integer
632,thrombosis_prediction,Patient,SEX,The sex of the patient.,text
633,thrombosis_prediction,Patient,Birthday,The date of birth of the patient.,date
634,thrombosis_prediction,Patient,Description,The date when the patient's data was last updated.,date
635,thrombosis_prediction,Patient,First Date,The date when a patient first visited the hospital.,date
636,thrombosis_prediction,Patient,Admission,Indicates whether the patient was admitted to the hospital (+) or followed at the outpatient clinic (-).,text
637,thrombosis_prediction,Patient,Diagnosis,The diagnosis of the patient.,text
638,toxicology,bond,bond_id,Unique identifier representing bonds within a molecule.,text
639,toxicology,bond,molecule_id,Identifies the molecule in which the bond appears.,text
640,toxicology,bond,bond_type,The type of bond between atoms.,text
641,toxicology,molecule,molecule_id,Unique identifier for each molecule.,text
642,toxicology,molecule,label,Indicates whether this molecule is carcinogenic.,text
643,toxicology,atom,atom_id,The unique identifier for each atom.,text
644,toxicology,atom,molecule_id,Identifies the molecule to which the atom belongs.,text
645,toxicology,atom,element,The chemical element to which the atom belongs.,text
646,toxicology,connected,atom_id,The ID of the first atom in a bond connection.,text
647,toxicology,connected,atom_id2,The ID of the second atom in a bond connection.,text
648,toxicology,connected,bond_id,Identifier for the bond between two atoms.,text
649,student_club,income,income_id,A unique identifier for each income record.,text
650,student_club,income,date_received,The date the income was received.,text
651,student_club,income,amount,The amount of funds received.,integer
652,student_club,income,source,"The source of the income, such as dues or fundraising activities.",text
653,student_club,income,notes,Details about the receipt of funds.,text
654,student_club,income,link_to_member,Reference to the member who is associated with the income.,text
655,student_club,budget,budget_id,A unique identifier for each budget entry.,text
656,student_club,budget,category,"The area for which the budgeted amount is allocated, such as advertisement, food, or parking.",text
657,student_club,budget,spent,The total amount spent in the budgeted category for an event.,real
658,student_club,budget,remaining,The remaining budget after expenditures for the specified category and event.,real
659,student_club,budget,amount,The total budgeted amount for the specified category and event.,integer
660,student_club,budget,event_status,The status of the event associated with the budget entry.,text
661,student_club,budget,link_to_event,The unique identifier of the event associated with the budget entry.,text
662,student_club,attendance,link_to_event,The unique identifier of the event linked to the attendance record.,text
663,student_club,attendance,link_to_member,The unique identifier of the member that attended the event.,text
664,student_club,event,event_id,A unique identifier for each event.,text
665,student_club,event,event_name,The name of the event.,text
666,student_club,event,event_date,The date the event took place or is scheduled to take place.,text
667,student_club,event,type,"The kind of event, such as game, social, election, meeting, or guest speaker.",text
668,student_club,event,notes,A free text field for any notes about the event.,text
669,student_club,event,location,Address where the event was held or is to be held.,text
670,student_club,event,status,"The status of the event, indicating if it is in planning, opened, or closed.",text
671,student_club,expense,expense_id,Unique identifier for each expense.,text
672,student_club,expense,expense_description,A textual description of the expense items or services for which the money was spent.,text
673,student_club,expense,expense_date,The date the expense was incurred.,text
674,student_club,expense,cost,The dollar amount spent on an expense.,real
675,student_club,expense,approved,A true or false value indicating if the expense was approved.,text
676,student_club,expense,link_to_member,The member who incurred the expense.,text
677,student_club,expense,link_to_budget,The unique identifier of the budget record associated with the expense.,text
678,student_club,major,major_id,A unique identifier for each major.,text
679,student_club,major,major_name,The name of the major.,text
680,student_club,major,department,The name of the department that offers the major.,text
681,student_club,major,college,The name of the college that houses the department offering the major.,text
682,student_club,member,member_id,Unique identifier for each member.,text
683,student_club,member,first_name,The member's first name.,text
684,student_club,member,last_name,The last name of the member.,text
685,student_club,member,email,The email address of the member.,text
686,student_club,member,position,The role or title the member holds within the club.,text
687,student_club,member,t_shirt_size,The size of the t-shirt that the member prefers.,text
688,student_club,member,phone,The primary phone number to contact the member.,text
689,student_club,member,zip,The zip code of the member's hometown.,integer
690,student_club,member,link_to_major,The unique identifier for the major associated with the member. References the Major table.,text
691,student_club,zip_code,zip_code,The ZIP code itself. A five-digit number identifying a US post office or delivery area.,integer
692,student_club,zip_code,type,"The classification of the ZIP code, such as Standard, PO Box, or Unique.",text
693,student_club,zip_code,city,The city to which the ZIP code pertains.,text
694,student_club,zip_code,county,The county to which the ZIP pertains.,text
695,student_club,zip_code,state,The name of the state to which the ZIP pertains.,text
696,student_club,zip_code,short_state,The standard two-letter abbreviation of the state.,text
697,superhero,gender,id,Unique identifier for the gender.,integer
698,superhero,gender,gender,The name of the gender of the superhero.,text
699,superhero,superpower,id,This is the unique identifier for each superpower.,integer
700,superhero,superpower,power_name,The name of the superpower.,text
701,superhero,publisher,id,The unique identifier of the publisher.,integer
702,superhero,publisher,publisher_name,The name of the publisher.,text
703,superhero,superhero,id,This is the unique identifier for each superhero.,integer
704,superhero,superhero,superhero_name,The name of the superhero.,text
705,superhero,superhero,full_name,The full name of the superhero.,text
706,superhero,superhero,gender_id,The identifier for the gender of the superhero.,integer
707,superhero,superhero,eye_colour_id,The identifier for the superhero's eye color.,integer
708,superhero,superhero,hair_colour_id,The identifier for the superhero's hair color.,integer
709,superhero,superhero,skin_colour_id,The ID of the superhero's skin color.,integer
710,superhero,superhero,race_id,The identifier for the superhero's race.,integer
711,superhero,superhero,publisher_id,The identifier for the publisher associated with the superhero.,integer
712,superhero,superhero,alignment_id,The id of the superhero's alignment. This references the id in the alignment table.,integer
713,superhero,superhero,height_cm,The height of the superhero in centimeters.,integer
714,superhero,superhero,weight_kg,The weight of the superhero in kilograms.,integer
715,superhero,colour,id,Unique identifier for each color.,integer
716,superhero,colour,colour,The name of the colour.,text
717,superhero,attribute,id,The unique identifier of the attribute.,integer
718,superhero,attribute,attribute_name,The name of the attribute.,text
719,superhero,hero_power,hero_id,The ID of the superhero associated with the superpower.,integer
720,superhero,hero_power,power_id,The ID of the superpower. Maps to superpower(id).,integer
721,superhero,race,id,The unique identifier for each race.,integer
722,superhero,race,race,The name of the superhero's race.,text
723,superhero,alignment,id,Unique identifier for the alignment.,integer
724,superhero,alignment,alignment,The alignment of the superhero (Good/Bad).,text
725,superhero,hero_attribute,hero_id,The ID of the superhero that has the attribute.,
726,superhero,hero_attribute,attribute_id,The id of the attribute. Maps to attribute(id).,
727,superhero,hero_attribute,attribute_value,The value representing the magnitude of a specific attribute for a superhero.,
728,codebase_community,postLinks,Id,This is the unique identifier for each post link.,integer
729,codebase_community,postLinks,CreationDate,The creation date of the post link.,datetime
730,codebase_community,postLinks,PostId,The ID of the post associated with the link.,integer
731,codebase_community,postLinks,RelatedPostId,The ID of the post that is related to the current post.,integer
732,codebase_community,postLinks,LinkTypeId,The identifier for the type of link between posts.,integer
733,codebase_community,postHistory,Id,The unique identifier for each post history entry.,integer
734,codebase_community,postHistory,PostHistoryTypeId,The identifier for the type of post history event.,integer
735,codebase_community,postHistory,PostId,The unique identifier of the post associated with the post history entry.,integer
736,codebase_community,postHistory,RevisionGUID,The revision globally unique identifier of the post.,integer
737,codebase_community,postHistory,CreationDate,The date and time when the post history record was created.,datetime
738,codebase_community,postHistory,UserId,The ID of the user who made the post history entry.,integer
739,codebase_community,postHistory,Text,The content of the post at the time of the revision.,text
740,codebase_community,postHistory,Comment,Additional comments or notes related to the post history.,text
741,codebase_community,postHistory,UserDisplayName,The display name of the user who made the post history entry.,text
742,codebase_community,badges,Id,This is the unique identifier for each badge.,integer
743,codebase_community,badges,UserId,The unique identifier of the user who received the badge.,integer
744,codebase_community,badges,Name,The name of the badge the user obtained.,text
745,codebase_community,badges,Date,The date that the user obtained the badge.,datetime
746,codebase_community,posts,Id,This is the unique identifier for each post.,integer
747,codebase_community,posts,PostTypeId,The identifier for the type of post.,integer
748,codebase_community,posts,AcceptedAnswerId,The accepted answer id of the post.,integer
749,codebase_community,posts,CreaionDate,The creation date of the post.,datetime
750,codebase_community,posts,Score,The score of the post.,integer
751,codebase_community,posts,ViewCount,The number of times the post has been viewed.,integer
752,codebase_community,posts,Body,The body of the post.,text
753,codebase_community,posts,OwnerUserId,The ID of the user who owns the post.,integer
754,codebase_community,posts,LasActivityDate,The last recorded activity date for the post.,datetime
755,codebase_community,posts,Title,The title of the post.,text
756,codebase_community,posts,Tags,The tags associated with the post.,text
757,codebase_community,posts,AnswerCount,The total number of answers for the post.,integer
758,codebase_community,posts,CommentCount,The total number of comments associated with the post.,integer
759,codebase_community,posts,FavoriteCount,The total number of times the post has been marked as a favorite by users.,integer
760,codebase_community,posts,LastEditorUserId,The ID of the last user who edited the post.,integer
761,codebase_community,posts,LastEditDate,The date and time when the post was last edited.,datetime
762,codebase_community,posts,CommunityOwnedDate,The date when the post was marked as community-owned.,datetime
763,codebase_community,posts,ParentId,"The ID of the parent post, indicating a hierarchical relationship between posts.",integer
764,codebase_community,posts,ClosedDate,The date when the post was closed.,data_format
765,codebase_community,posts,OwnerDisplayName,The display name of the post owner.,text
766,codebase_community,posts,LastEditorDisplayName,The display name of the last editor of the post.,text
767,codebase_community,users,Id,This is the unique identifier for each user.,integer
768,codebase_community,users,Reputation,The user's reputation score.,integer
769,codebase_community,users,CreationDate,The date and time when the user account was created.,datetime
770,codebase_community,users,DisplayName,The display name chosen by the user.,text
771,codebase_community,users,LastAccessDate,The last access date of the user.,datetime
772,codebase_community,users,WebsiteUrl,The website URL of the user.,text
773,codebase_community,users,Location,The user's location.,text
774,codebase_community,users,AboutMe,Self-introduction of the user.,text
775,codebase_community,users,Views,The number of times the user's profile has been viewed.,integer
776,codebase_community,users,UpVotes,The number of upvotes received by the user.,integer
777,codebase_community,users,DownVotes,The number of downvotes received by the user.,integer
778,codebase_community,users,AccountId,The unique identifier for the user's account.,integer
779,codebase_community,users,Age,The age of the user.,integer
780,codebase_community,users,ProfileImageUrl,URL of the user's profile image.,text
781,codebase_community,tags,Id,Unique identifier for each tag.,integer
782,codebase_community,tags,TagName,The name of the tag.,text
783,codebase_community,tags,Count,The number of posts that contain this tag.,integer
784,codebase_community,tags,ExcerptPostId,The ID of the post containing the excerpt for the tag.,integer
785,codebase_community,tags,WikiPostId,The ID of the wiki post associated with the tag.,text
786,codebase_community,votes,Id,The unique identifier for each vote.,integer
787,codebase_community,votes,PostId,The identifier of the post that received the vote.,integer
788,codebase_community,votes,VoteTypeId,The identifier for the type of vote.,integer
789,codebase_community,votes,CreationDate,The date when the vote was created.,datetime
790,codebase_community,votes,UserId,The ID of the user who cast the vote.,integer
791,codebase_community,votes,BountyAmount,The amount of bounty associated with a vote.,integer
792,codebase_community,comments,Id,This is the unique identifier for each comment.,integer
793,codebase_community,comments,PostId,The unique identifier of the post associated with the comment.,integer
794,codebase_community,comments,Score,The rating score of the comment.,integer
