,question_id,sql_gold,sql_pred,execution_accuracy,used_metadata
167,167,SELECT T2.client_id FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'junior' AND T1.issued >= '1997-01-01',"SELECT client_id
FROM client
JOIN card ON client.client_id = disp.client_id
JOIN disp ON disp.client_id = client.client_id
JOIN card ON card.disp_id = disp.disp_id
WHERE card.type = 'junior' AND card.issued > '1996-01-01';",0,qwen2_metadata
168,168,SELECT CAST(SUM(T2.gender = 'F') AS REAL) * 100 / COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T1.A11 > 10000,"SELECT COUNT(client.gender) AS women_count, COUNT(client.client_id) AS total_clients
FROM client
JOIN district ON client.district_id = district.district_id
WHERE district.A11 > 10000 AND client.gender = 'female'
GROUP BY district.district_id
HAVING AVG(district.A11) > 10000
GROUP BY client.gender
QUERYING THE PERCENTAGE:
SELECT (women_count / total_clients) * 100 AS percentage
FROM (
    SELECT COUNT(client.gender) AS women_count, COUNT(client.client_id) AS total_clients
    FROM client
    JOIN district ON client.district_id = district.district_id
    WHERE district.A11 > 10000 AND client.gender = 'female'
    GROUP BY district.district_id
    HAVING AVG(district.A11) > 10000
    GROUP BY client.gender
) AS subquery;",0,qwen2_metadata
169,169,"SELECT CAST((SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1997' THEN T1.amount ELSE 0 END) - SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END)) AS REAL) * 100 / SUM(CASE WHEN STRFTIME('%Y', T1.date) = '1996' THEN T1.amount ELSE 0 END) FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T3.account_id = T2.account_id INNER JOIN client AS T4 ON T4.client_id = T3.client_id WHERE T4.gender = 'M' AND T3.type = 'OWNER'","SELECT ((SUM(loan.amount) FROM loan JOIN disp ON loan.account_id = disp.account_id WHERE disp.client_id = (
    SELECT client_id FROM client WHERE gender = 'male' AND birth_date <= '1996-01-01' AND birth_date >= '1946-01-01'
) AND loan.date <= '1997-12-31' AND loan.date >= '1996-01-01'
) - (
    SELECT SUM(loan.amount) FROM loan JOIN disp ON loan.account_id = disp.account_id WHERE disp.client_id = (
    SELECT client_id FROM client WHERE gender = 'male' AND birth_date <= '1997-01-01' AND birth_date >= '1946-01-01'
) AND loan.date <= '1997-12-31' AND loan.date >= '1996-01-01'
)) / (
    SELECT SUM(loan.amount) FROM loan JOIN disp ON loan.account_id = disp.account_id WHERE disp.client_id = (
    SELECT client_id FROM client WHERE gender = 'male' AND birth_date <= '1996-01-01' AND birth_date >= '1946-01-01'
) AND loan.date <= '1996-12-31' AND loan.date >= '1996-01-01'
) * 100
;",0,qwen2_metadata
170,170,"SELECT COUNT(account_id) FROM trans WHERE STRFTIME('%Y', date) > '1995' AND operation = 'VYBER KARTOU'","SELECT COUNT(*)
FROM trans
WHERE type = 'VYBER' AND date > '1995-01-01' AND k_symbol IS NULL;",0,qwen2_metadata
171,171,"SELECT SUM(IIF(A3 = 'East Bohemia', A16, 0)) - SUM(IIF(A3 = 'North Bohemia', A16, 0)) FROM district","SELECT SUM(cases) AS east_bohemia_crimes FROM crime WHERE year = 1996 AND region = 'East Bohemia';
SELECT SUM(cases) AS north_bohemia_crimes FROM crime WHERE year = 1996 AND region = 'North Bohemia';
SELECT east_bohemia_crimes - north_bohemia_crimes AS difference;",0,qwen2_metadata
172,172,"SELECT SUM(type = 'Owner') , SUM(type = 'Disponent') FROM disp WHERE account_id BETWEEN 1 AND 10","SELECT COUNT(*) FROM disp WHERE account_id BETWEEN 1 AND 10 AND type IN ('OWNER', 'DISPONENT');",0,qwen2_metadata
173,173,"SELECT T1.frequency, T2.k_symbol FROM account AS T1 INNER JOIN `order` AS T2 ON T1.account_id = T2.account_id WHERE T1.account_id = 3 AND T2.amount = 3539","SELECT frequency
FROM account
WHERE account_id = 3;

SELECT type, operation, amount
FROM trans
WHERE account_id = 3
AND amount = 3539;",0,qwen2_metadata
174,174,"SELECT STRFTIME('%Y', T1.birth_date) FROM client AS T1 INNER JOIN disp AS T3 ON T1.client_id = T3.client_id INNER JOIN account AS T2 ON T3.account_id = T2.account_id WHERE T2.account_id = 130",SELECT birth_date FROM client WHERE client_id = 130 AND EXTRACT(YEAR FROM birth_date) IS NOT NULL;,0,qwen2_metadata
175,175,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK PO OBRATU',"SELECT COUNT(*)
FROM disp
WHERE type = 'OWNER' AND operation = 'STAMPE' AND trans.id IS NOT NULL;

JOIN trans ON disp.account_id = trans.account_id;",0,qwen2_metadata
176,176,"SELECT T3.amount, T3.status FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T2.account_id = T3.account_id WHERE T1.client_id = 992","SELECT SUM(loan.amount) AS Total_Debt, loan.status
FROM loan
JOIN account ON loan.account_id = account.account_id
WHERE account.client_id = 992;",0,qwen2_metadata
177,177,"SELECT T3.balance, T1.gender FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T1.client_id = 4 AND T3.trans_id = 851","SELECT balance, gender
FROM account
JOIN client ON account.district_id = client.district_id
JOIN disp ON account.account_id = disp.account_id
WHERE client.client_id = 4 AND trans.trans_id = 851;

SELECT SUM(amount)
FROM trans
WHERE account_id = (
    SELECT account_id
    FROM disp
    JOIN account ON disp.account_id = account.account_id
    JOIN client ON account.district_id = client.district_id
    WHERE client.client_id = 4 AND trans.trans_id = 851
);",0,qwen2_metadata
178,178,SELECT T3.type FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T1.client_id = 9,"SELECT type
FROM card
JOIN disp ON card.card_id = disp.card_id
JOIN client ON disp.client_id = client.client_id
WHERE client.client_id = 9;",0,qwen2_metadata
179,179,"SELECT SUM(T3.amount) FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE STRFTIME('%Y', T3.date)= '1998' AND T1.client_id = 617","SELECT SUM(amount)
FROM trans
WHERE account_id = 617 AND date = '1998-01-01' AND type = 'PREVOD Z UCTU';",0,qwen2_metadata
180,180,"SELECT T1.client_id, T3.account_id FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN account AS T3 ON T2.district_id = T3.district_id WHERE T2.A3 = 'east Bohemia' AND STRFTIME('%Y', T1.birth_date) BETWEEN '1983' AND '1987'","SELECT client_id
FROM client
JOIN disp ON client.client_id = disp.client_id
JOIN district ON disp.district_id = district.district_id
WHERE district.A8 = 'East Bohemia' AND birth_date BETWEEN '1983-01-01' AND '1987-12-31';",0,qwen2_metadata
181,181,SELECT T1.client_id FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T2.account_id = T3.account_id WHERE T1.gender = 'F' ORDER BY T3.amount DESC LIMIT 3,"SELECT client_id
FROM client
JOIN disp ON client.client_id = disp.client_id
JOIN loan ON disp.account_id = loan.account_id
WHERE gender = 'Female'
ORDER BY loan.amount DESC
LIMIT 3;",0,qwen2_metadata
182,182,"SELECT COUNT(T1.account_id) FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.district_id = T3.district_id WHERE STRFTIME('%Y', T3.birth_date) BETWEEN '1974' AND '1976' AND T3.gender = 'M' AND T1.amount > 4000 AND T1.k_symbol = 'SIPO'","
SELECT COUNT(client_id)
FROM client
JOIN disp ON client.client_id = disp.client_id
JOIN account ON disp.account_id = account.account_id
JOIN loan ON account.account_id = loan.account_id
WHERE client.gender = 'male' AND loan.date >= '1974-01-01' AND loan.date <= '1976-12-31' AND loan.payments > 4000;
",0,qwen2_metadata
183,183,"SELECT COUNT(account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.date) > '1996' AND T2.A2 = 'Beroun'","SELECT COUNT(*)
FROM account
WHERE district_id = (SELECT district_id FROM district WHERE A2 = 'Beroun')
AND date > '1996-01-01';",0,qwen2_metadata
184,184,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T1.gender = 'F' AND T3.type = 'junior',"SELECT COUNT(client_id)
FROM client
JOIN disp ON client.client_id = disp.client_id
JOIN card ON disp.account_id = card.account_id
WHERE gender = 'female' AND type = 'junior';",0,qwen2_metadata
185,185,SELECT CAST(SUM(T2.gender = 'F') AS REAL) / COUNT(T2.client_id) * 100 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'Prague',"SELECT COUNT(client.client_id) as female_customers, SUM(CASE WHEN client.gender = 'female' THEN 1 ELSE 0 END) as female_prague_customers
FROM client
JOIN district ON client.district_id = district.district_id
WHERE district.A2 = 'Prague';

This query calculates the number of female customers who have accounts at the Prague branch by counting the total number of clients and filtering for those who are female and are located in the Prague district.",0,qwen2_metadata
186,186,SELECT CAST(SUM(T1.gender = 'M') AS REAL) * 100 / COUNT(T1.client_id) FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T2.frequency = 'POPLATEK TYDNE',"SELECT
    COUNT(CASE WHEN client.gender = 'male' AND EXISTS (
        SELECT 1
        FROM trans
        WHERE trans.account_id = client.client_id
        AND WEEKOFYEAR(trans.date) = WEEKOFYEAR(CURRENT_DATE())
        AND trans.type = 'ISSUE'
    )) / (
        SELECT COUNT(*)
        FROM client
        WHERE gender = 'male'
    ) * 100 AS percentage
FROM client;",0,qwen2_metadata
187,187,SELECT COUNT(T2.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T2.account_id = T1.account_id WHERE T1.frequency = 'POPLATEK TYDNE' AND T2.type = 'USER',"SELECT COUNT(client_id)
FROM client
WHERE frequency = 'weekly' AND type = 'User'
    AND EXISTS (
        SELECT 1
        FROM disp
        WHERE client_id = client.client_id
        AND type = 'OWNER'
    );",0,qwen2_metadata
188,188,"SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T1.duration > 24 AND STRFTIME('%Y', T2.date) < '1997' ORDER BY T1.amount ASC LIMIT 1","sql
SELECT account_id
FROM loan
WHERE duration > 24 AND date < '1997-01-01'
ORDER BY amount ASC
LIMIT 1;
",0,qwen2_metadata
189,189,"SELECT T3.account_id FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN account AS T3 ON T2.district_id = T3.district_id WHERE T1.gender = 'F' ORDER BY T1.birth_date ASC, T2.A11 ASC LIMIT 1","SELECT account_id
FROM client
JOIN disp ON client.client_id = disp.client_id
JOIN district ON client.district_id = district.district_id
WHERE gender = 'female'
ORDER BY birth_date DESC, (SUM(district.A11) / COUNT(district.district_id)) ASC
LIMIT 1;",0,qwen2_metadata
190,190,"SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.birth_date) = '1920' AND T2.A3 = 'east Bohemia'","SELECT COUNT(client_id)
FROM client
WHERE birth_date = '1920-01-01'
AND district_id IN (
    SELECT district_id
    FROM district
    WHERE A2 = 'East Bohemia'
);",0,qwen2_metadata
191,191,SELECT COUNT(T2.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.duration = 24 AND T1.frequency = 'POPLATEK TYDNE',"SELECT COUNT(account_id)
FROM loan
WHERE duration = 24
AND frequency = 'weekly'
AND type = 'loan';",0,qwen2_metadata
192,192,"SELECT AVG(T2.payments) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.status IN ('C', 'D') AND T1.frequency = 'POPLATEK PO OBRATU'","SELECT AVG(loan.amount)
FROM loan
JOIN trans ON loan.account_id = trans.account_id
WHERE loan.status = 'A' AND trans.date > loan.date;",0,qwen2_metadata
193,193,"SELECT T3.client_id, T2.district_id, T2.A2 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id WHERE T3.type = 'OWNER'","SELECT client.client_id, district.district_id
FROM client
JOIN disp ON client.client_id = disp.client_id
WHERE disp.type = 'OWNER' AND (
    EXISTS (
        SELECT 1
        FROM order AS o
        WHERE o.account_id = disp.account_id AND o.k_symbol = 'PERMANENT'
    ) OR
    EXISTS (
        SELECT 1
        FROM loan
        WHERE loan.account_id = disp.account_id
    )
);",0,qwen2_metadata
194,194,"SELECT T1.client_id, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T3.birth_date) FROM disp AS T1 INNER JOIN card AS T2 ON T2.disp_id = T1.disp_id INNER JOIN client AS T3 ON T1.client_id = T3.client_id WHERE T2.type = 'gold' AND T1.type = 'OWNER'","SELECT client_id, EXTRACT(YEAR FROM birth_date) - YEAR(CURDATE()) AS age
FROM client
JOIN card ON client.client_id = card.client_id
WHERE type = 'high level' AND card.type IN ('gold', 'classic')
AND EXISTS (
    SELECT 1
    FROM loan
    WHERE account_id = (
        SELECT account_id
        FROM disp
        WHERE client_id = client.client_id
        AND type = 'OWNER'
    )
);",0,qwen2_metadata
195,195,"SELECT T.bond_type FROM ( SELECT bond_type, COUNT(bond_id) FROM bond GROUP BY bond_type ORDER BY COUNT(bond_id) DESC LIMIT 1 ) AS T","SELECT bond_type
FROM bond
GROUP BY bond_type
ORDER BY COUNT(*) DESC
LIMIT 1;",1,qwen2_metadata
196,196,SELECT COUNT(DISTINCT T1.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.element = 'cl' AND T1.label = '-',"SELECT COUNT(*)
FROM atom
JOIN connected ON atom.atom_id = connected.atom_id
JOIN molecule ON molecule.molecule_id = connected.molecule_id
WHERE atom.element = 'cl' AND molecule.label NOT LIKE '%carcinogenic%';",0,qwen2_metadata
197,197,"SELECT AVG(oxygen_count) FROM (SELECT T1.molecule_id, COUNT(T1.element) AS oxygen_count FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id  WHERE T2.bond_type = '-' AND T1.element = 'o'  GROUP BY T1.molecule_id) AS oxygen_counts","SELECT AVG(COUNT(a1.atom_id)) AS average_oxygen_count
FROM connected c
JOIN atom a1 ON c.atom_id = a1.atom_id
JOIN atom a2 ON c.atom_id2 = a2.atom_id
JOIN bond b ON c.bond_id = b.bond_id
JOIN molecule m ON b.molecule_id = m.molecule_id
WHERE a1.element = 'o' AND b.bond_type = '-' AND m.label = '+'
GROUP BY m.molecule_id;",0,qwen2_metadata
198,198,"SELECT AVG(single_bond_count) FROM (SELECT T3.molecule_id, COUNT(T1.bond_type) AS single_bond_count FROM bond AS T1  INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN molecule AS T3 ON T3.molecule_id = T2.molecule_id WHERE T1.bond_type = '-' AND T3.label = '+' GROUP BY T3.molecule_id) AS subquery","SELECT AVG(CASE WHEN molecule.label = '+' THEN COUNT(DISTINCT connected.atom_id) END)
FROM molecule
JOIN connected ON connected.molecule_id = molecule.molecule_id
JOIN bond ON connected.bond_id = bond.bond_id
WHERE bond_type = 'single' AND molecule.label IS NOT NULL;",0,qwen2_metadata
199,199,SELECT COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'na' AND T2.label = '-',"SELECT COUNT(*)
FROM atom
JOIN connected ON atom.atom_id = connected.atom_id
JOIN molecule ON atom.molecule_id = molecule.molecule_id
WHERE element = 'na' AND molecule.label NOT LIKE '%carcinogenic%';",0,qwen2_metadata
200,200,SELECT DISTINCT T2.molecule_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#' AND T2.label = '+',"SELECT `molecule_id`
FROM `molecule`
JOIN `atom` ON `molecule`.`molecule_id` = `atom`.`molecule_id`
JOIN `connected` ON `atom`.`atom_id` = `connected`.`atom_id` OR `atom`.`atom_id` = `connected`.`atom_id2`
JOIN `bond` ON `connected`.`bond_id` = `bond`.`bond_id`
WHERE `element` IN ('c', 'n') -- Assuming triple bonds can only occur between carbon and nitrogen atoms
AND `bond_type` = '==' -- Assuming triple bonds are represented by '==' in the database
AND `molecule`.`label` LIKE '%carcinogenic%' -- Assuming carcinogenic molecules are labeled with 'carcinogenic' or a similar term
GROUP BY `molecule_id`
HAVING COUNT(DISTINCT `element`) = 2 -- Assuming each triple bond involves two carbon or nitrogen atoms
AND COUNT(DISTINCT `bond_type`) = 1 -- Assuming each molecule has only one triple bond",0,qwen2_metadata
201,201,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element = 'c' THEN T1.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T1.atom_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '=',"SELECT COUNT(*) * 100.0 / (
  SELECT COUNT(*)
  FROM molecule
  JOIN bond ON molecule.molecule_id = bond.molecule_id
  JOIN connected ON bond.bond_id = connected.bond_id
  JOIN atom ON connected.atom_id = atom.atom_id
  WHERE atom.element = 'c' AND bond_type = '='
) AS percentage
FROM molecule
JOIN bond ON molecule.molecule_id = bond.molecule_id
JOIN connected ON bond.bond_id = connected.bond_id
JOIN atom ON connected.atom_id = atom.atom_id
WHERE bond_type = '='",0,qwen2_metadata
202,202,SELECT COUNT(T.bond_id) FROM bond AS T WHERE T.bond_type = '#',"SELECT COUNT(*)
FROM bond
WHERE bond_type = 'triple';",0,qwen2_metadata
203,203,SELECT COUNT(DISTINCT T.atom_id) FROM atom AS T WHERE T.element <> 'br',SELECT COUNT(*) FROM atom WHERE element != 'br';,1,qwen2_metadata
204,204,SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE molecule_id BETWEEN 'TR000' AND 'TR099' AND T.label = '+',"SELECT COUNT(*)
FROM molecule
WHERE molecule_id IN (
  SELECT molecule_id
  FROM (
    SELECT molecule_id
    FROM molecule
    ORDER BY molecule_id
    LIMIT 100
  ) AS first_100
) AND label LIKE '%carcinogenic%';",0,qwen2_metadata
205,205,SELECT T.atom_id FROM atom AS T WHERE T.element = 'si',"SELECT molecule_id
FROM molecule
JOIN atom ON molecule.molecule_id = atom.molecule_id
WHERE atom.element = 'si';",0,qwen2_metadata
206,206,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR004_8_9',"SELECT element FROM atom
WHERE atom_id IN (
  SELECT atom_id FROM connected
  WHERE atom_id2 IN (
    SELECT atom_id FROM connected
    WHERE bond_id = (
      SELECT bond_id FROM bond
      WHERE molecule_id = (
        SELECT molecule_id FROM molecule WHERE molecule_id = 'TR004_8_9'
      )
    )
  )
);",0,qwen2_metadata
207,207,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN connected AS T3 ON T1.atom_id = T3.atom_id WHERE T2.bond_type = '=',"SELECT element
FROM atom
JOIN connected ON atom.atom_id = connected.atom_id
JOIN bond ON connected.bond_id = bond.bond_id
WHERE bond_type = '='",0,qwen2_metadata
208,208,"SELECT T.label FROM ( SELECT T2.label, COUNT(T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'h' GROUP BY T2.label ORDER BY COUNT(T2.molecule_id) DESC LIMIT 1 ) t","SELECT `label`
FROM `molecule`
JOIN `atom` ON `molecule`.`molecule_id` = `atom`.`molecule_id`
WHERE `element` = 'h'
GROUP BY `label`
ORDER BY COUNT(`molecule`.`molecule_id`) DESC
LIMIT 1;",1,qwen2_metadata
209,209,SELECT DISTINCT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id INNER JOIN atom AS T3 ON T2.atom_id = T3.atom_id WHERE T3.element = 'te',"SELECT bond_type
FROM bond
JOIN atom ON bond.molecule_id = atom.molecule_id
WHERE atom.element = 'te';",0,qwen2_metadata
210,210,"SELECT T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.bond_type = '-'","SELECT atom_id, atom_id2
FROM connected
WHERE bond_id IN (
    SELECT bond_id
    FROM bond
    WHERE bond_type = 'single'
);",0,qwen2_metadata
211,211,SELECT DISTINCT T1.atom_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN connected AS T3 ON T1.atom_id = T3.atom_id WHERE T2.label = '-',"

SELECT atom_id
FROM connected
JOIN atom ON connected.atom_id = atom.atom_id
JOIN molecule ON connected.molecule_id = molecule.molecule_id
WHERE molecule.label != '+'
",0,qwen2_metadata
212,212,"SELECT T.element FROM ( SELECT T1.element, COUNT(DISTINCT T1.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' GROUP BY T1.element ORDER BY COUNT(DISTINCT T1.molecule_id) ASC LIMIT 4 ) t","

SELECT element
FROM atom
JOIN connected ON atom.atom_id = connected.atom_id
JOIN bond ON connected.bond_id = bond.bond_id
JOIN molecule ON bond.molecule_id = molecule.molecule_id
WHERE molecule.label != '+' AND COUNT(atom.atom_id) = (
    SELECT MAX(count) FROM (
        SELECT COUNT(atom.atom_id) AS count
        FROM atom
        JOIN connected ON atom.atom_id = connected.atom_id
        JOIN bond ON connected.bond_id = bond.bond_id
        JOIN molecule ON bond.molecule_id = molecule.molecule_id
        WHERE molecule.label != '+'
        GROUP BY atom.element
    ) AS subquery
)
GROUP BY atom.element
ORDER BY COUNT(atom.atom_id) ASC
LIMIT 1;
",0,qwen2_metadata
213,213,SELECT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T2.atom_id = 'TR004_8' AND T2.atom_id2 = 'TR004_20' OR T2.atom_id2 = 'TR004_8' AND T2.atom_id = 'TR004_20',"
SELECT bond_type
FROM bond
JOIN connected ON bond.bond_id = connected.bond_id
WHERE connected.atom_id = 'TR004_8' AND connected.atom_id2 = 'TR004_20';",0,qwen2_metadata
214,214,SELECT DISTINCT T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element != 'sn',"

SELECT DISTINCT label
FROM molecule
WHERE NOT EXISTS (
    SELECT 1
    FROM atom
    JOIN connected ON atom.atom_id = connected.atom_id
    JOIN bond ON connected.bond_id = bond.bond_id
    JOIN molecule ON bond.molecule_id = molecule.molecule_id
    WHERE atom.element = 'sn'
)
",0,qwen2_metadata
215,215,"SELECT COUNT(DISTINCT CASE WHEN T1.element = 'i' THEN T1.atom_id ELSE NULL END) AS iodine_nums , COUNT(DISTINCT CASE WHEN T1.element = 's' THEN T1.atom_id ELSE NULL END) AS sulfur_nums FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id INNER JOIN bond AS T3 ON T2.bond_id = T3.bond_id WHERE T3.bond_type = '-'","

SELECT COUNT(*)
FROM atom
WHERE element = 'i'
AND atom_id IN (
    SELECT atom_id
    FROM connected
    JOIN bond ON connected.bond_id = bond.bond_id
    JOIN atom ON connected.atom_id2 = atom.atom_id
    WHERE bond_type = 'single'
    AND atom.element = 's'
)
",0,qwen2_metadata
216,217,"SELECT T2.atom_id, T2.atom_id2 FROM atom AS T1 INNER JOIN connected AS T2 ON T2.atom_id = T1.atom_id WHERE T1.molecule_id = 'TR181'","

SELECT atom_id
FROM connected
WHERE molecule_id = 'TR181' AND atom_id IN (
    SELECT atom_id
    FROM connected
    WHERE molecule_id = 'TR181'
)
",0,qwen2_metadata
217,218,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element <> 'f' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',"

SELECT COUNT(*) AS non_fluorine_carcinogenic_molecules,
       (SELECT COUNT(*) FROM molecule WHERE label = '+') AS total_molecules
FROM molecule
WHERE label = '+' AND element NOT IN ('f');

SELECT (COUNT(*) - (SELECT COUNT(*) FROM molecule WHERE label = '+' AND element = 'f')) / (SELECT COUNT(*) FROM molecule WHERE label = '+') AS percentage_non_fluorine_carcinogenic_molecules;
",0,qwen2_metadata
218,219,SELECT CAST(COUNT(DISTINCT CASE WHEN T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#',"

SELECT COUNT(*) AS carcinogenic_count,
       (SELECT COUNT(*) FROM molecule WHERE label = '+') AS total_molecules
FROM molecule
JOIN connected ON molecule.molecule_id = connected.molecule_id
JOIN atom ON connected.atom_id = atom.atom_id
JOIN bond ON connected.bond_id = bond.bond_id
WHERE atom.element IN ('As', 'Pb', 'Ni', 'Cr', 'Hg')
AND bond_type = 'triple'
AND molecule.label = '+';
",0,qwen2_metadata
219,220,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR000' ORDER BY T.element LIMIT 3,"
SELECT element
FROM atom
WHERE molecule_id = 'TR000'
ORDER BY element ASC
LIMIT 3;",0,qwen2_metadata
220,221,"SELECT SUBSTR(T.bond_id, 1, 7) AS atom_id1 , T.molecule_id || SUBSTR(T.bond_id, 8, 2) AS atom_id2 FROM bond AS T WHERE T.molecule_id = 'TR001' AND T.bond_id = 'TR001_2_6'","
SELECT atom_id, atom_id2
FROM connected
WHERE molecule_id = 'TR001' AND bond_id = 'TR001_2_6';",0,qwen2_metadata
221,222,SELECT COUNT(CASE WHEN T.label = '+' THEN T.molecule_id ELSE NULL END) - COUNT(CASE WHEN T.label = '-' THEN T.molecule_id ELSE NULL END) AS diff_car_notcar FROM molecule t,"

SELECT COUNT(*) AS 'Number of carcinogenic molecules', COUNT(CASE WHEN label IS NULL THEN molecule_id END) AS 'Number of non-carcinogenic molecules'
FROM molecule
",0,qwen2_metadata
222,223,SELECT T.atom_id FROM connected AS T WHERE T.bond_id = 'TR000_2_5',"
SELECT `atom_id`, `atom_id2`
FROM `connected`
WHERE `bond_id` = 'TR_000_2_5';",0,qwen2_metadata
223,224,SELECT T.bond_id FROM connected AS T WHERE T.atom_id2 = 'TR000_2',"
SELECT bond_id
FROM connected
JOIN atom ON connected.atom_id2 = atom.atom_id
JOIN molecule ON atom.molecule_id = molecule.molecule_id
WHERE atom.atom_id = 'TR000_2';",1,qwen2_metadata
