database_name,table_name,original_column_name,column_description,data_format,Difficulty,Difficulty E/M/H/VH
card_games,cards,mtgjsonV4Id,The Magic: The Gathering json v4 ID of the card.,text,Ambiguity-Prone,Hard
card_games,cards,mtgoFoilId,The unique identifier for the foil version of the card on Magic: The Gathering Online (MTGO).,text,Ambiguity-Prone,Hard
card_games,cards,mtgoId,The unique identifier for the card in the Magic: The Gathering Online (MTGO) system.,text,Ambiguity-Prone,Hard
card_games,cards,multiverseId,The unique identifier for the card in the Magic: The Gathering Multiverse database.,text,Ambiguity-Prone,Hard
card_games,cards,name,The name of the card.,text,Self-evident,Easy
card_games,cards,number,The number assigned to the card within its set.,text,Ambiguity-Prone,Hard
card_games,cards,originalReleaseDate,The original release date of the card.,text,Self-evident,Easy
card_games,cards,originalText,The original text of the card as it was first printed.,text,Self-evident,Easy
card_games,cards,originalType,The original type of the card.,text,Context-Aided,Medium
card_games,cards,otherFaceIds,Identifiers for other faces of the card.,text,Self-evident,Easy
card_games,cards,power,The power of the card.,text,Self-evident,Easy
card_games,cards,printings,A list of set printing codes where the card was printed, formatted in uppercase.,text,Ambiguity-Prone,Hard
card_games,cards,promoTypes,A list of promotional types associated with a card.,text,Ambiguity-Prone,Hard
card_games,cards,purchaseUrls,Links that navigate to websites where the card can be purchased.,text,Self-evident,Easy
card_games,cards,rarity,The rarity of the card.,text,Self-evident,Easy
card_games,cards,scryfallId,The unique identifier for the card on Scryfall.,text,Context-Aided,Medium
card_games,cards,scryfallIllustrationId,The unique identifier for the card's illustration on Scryfall.,text,Context-Aided,Medium
card_games,cards,scryfallOracleId,The unique identifier for the card's Oracle data on Scryfall.,text,Context-Aided,Medium
card_games,cards,setCode,The set printing code that the card is from.,text,Self-evident,Easy
card_games,cards,side,The identifier of the card side.,text,Ambiguity-Prone,Hard
card_games,cards,subtypes,A list of card subtypes found after em-dash.,text,Context-Aided,Medium
card_games,cards,supertypes,A list of card supertypes found before em-dash.,text,Context-Aided,Medium
card_games,cards,tcgplayerProductId,The unique identifier for the product on TCGplayer.,text,Context-Aided,Medium
card_games,cards,text,The rules text of the card.,text,Context-Aided,Medium
card_games,cards,toughness,The toughness of the card.,text,Self-evident,Easy
card_games,cards,type,The type of the card, including any supertypes and subtypes.,text,Context-Aided,Medium
card_games,cards,types,A list of all card types, including Un‑sets and gameplay variants.,text,Ambiguity-Prone,Hard
card_games,cards,uuid,The uuid of the card.,text,Ambiguity-Prone,Hard
card_games,cards,variations,The uuid of variations of the card.,text,Ambiguity-Prone,Hard
card_games,cards,watermark,The name of the watermark on the card.,text,Context-Aided,Medium
card_games,sets,id,Unique identifier for each set.,integer,Self-evident,Easy
card_games,sets,baseSetSize,The number of cards in the base set.,integer,Context-Aided,Medium
card_games,sets,block,The name of the block to which the set belongs.,text,Context-Aided,Medium
card_games,sets,booster,A breakdown of possibilities and weights of cards in a booster pack.,text,Ambiguity-Prone,Hard
card_games,sets,code,The unique code identifying each set.,text,Self-evident,Easy
card_games,sets,isFoilOnly,Indicates whether the set is exclusively available in foil.,integer,Self-evident,Easy
card_games,sets,isForeignOnly,Indicates whether the set is exclusively available outside the United States.,integer,Ambiguity-Prone,Hard
card_games,sets,isNonFoilOnly,Indicates if the set is exclusively available in non-foil format.,integer,Self-evident,Easy
card_games,sets,isOnlineOnly,Indicates if the set is exclusively available in online game formats.,integer,Self-evident,Easy
card_games,sets,isPartialPreview,Indicates if the set is still in preview (spoiled).,integer,Ambiguity-Prone,Hard
card_games,sets,keyruneCode,The matching Keyrune code for set image icons.,text,Ambiguity-Prone,Hard
card_games,sets,mcmId,The Magic Card Market identifier for the set.,integer,Ambiguity-Prone,Hard
card_games,sets,mcmIdExtras,The split Magic Card Market set identifier if a set is printed in two sets. This identifier represents the second set's identifier.,integer,Ambiguity-Prone,Hard
card_games,sets,mcmName,The name of the set as listed on Magic Card Market.,text,Ambiguity-Prone,Hard
card_games,sets,mtgoCode,The Magic: The Gathering Online code for the set.,text,Ambiguity-Prone,Hard
card_games,sets,name,The name of the set.,text,Self-evident,Easy
card_games,sets,parentCode,The parent set code for set variations like promotions, guild kits, etc.,text,Ambiguity-Prone,Hard
card_games,sets,releaseDate,The release date of the set in ISO 8601 format.,date,Self-evident,Easy
card_games,sets,tcgplayerGroupId,The group identifier of the set on TCGplayer.,integer,Ambiguity-Prone,Hard
card_games,sets,totalSetSize,The total number of cards in the set, including promotional and related supplemental products.,integer,Context-Aided,Medium
card_games,sets,type,The type of the set.,text,Context-Aided,Medium
card_games,foreign_data,id,The ID identifying the foreign data of a card.,integer,Context-Aided,Medium
card_games,foreign_data,flavorText,The foreign flavor text of the card.,text,Context-Aided,Medium
card_games,foreign_data,language,The language of the card.,text,Context-Aided,Medium
card_games,foreign_data,multiverseid,The foreign multiverse identifier of the card.,integer,Context-Aided,Medium
card_games,foreign_data,name,The foreign name of the card.,text,Context-Aided,Medium
card_games,foreign_data,text,The foreign language text of the card.,text,Context-Aided,Medium
card_games,foreign_data,type,The foreign type of the card, including any supertypes and subtypes.,text,Context-Aided,Medium
card_games,foreign_data,uuid,Unique identifier referencing the related card.,text,Ambiguity-Prone,Hard
card_games,rulings,id,Unique identifier for each ruling.,integer,Self-evident,Easy
card_games,rulings,date,The date when the ruling was issued.,date,Self-evident,Easy
card_games,rulings,text,Details about the ruling text.,text,Self-evident,Easy
card_games,rulings,uuid,Unique identifier linking each ruling to a specific card.,text,Ambiguity-Prone,Hard
card_games,set_translations,id,Unique identifier for each translation entry.,integer,Self-evident,Easy
card_games,set_translations,language,The language of the card set translation.,text,Self-evident,Easy
card_games,set_translations,setCode,The set code for the translated set.,text,Self-evident,Easy
card_games,set_translations,translation,The translation of the set name into the specified language of the translation.,text,Self-evident,Easy
european_football_2,Player,id,Unique identifier for each player.,integer,Self-evident,Easy
european_football_2,Player,player_api_id,The api ID of the player.,integer,Self-evident,Easy
european_football_2,Player,player_name,The name of the player.,text,Self-evident,Easy
european_football_2,Player,player_fifa_api_id,The unique identifier for the player in the FIFA API.,integer,Self-evident,Easy
european_football_2,Player,birthday,The player's date of birth.,text,Self-evident,Easy
european_football_2,Player,height,The player's height in centimeters.,integer,Self-evident,Easy
european_football_2,Player,weight,The player's weight in pounds.,integer,Self-evident,Easy
european_football_2,Match,id,This is the unique identifier for each match.,integer,Self-evident,Easy
european_football_2,Match,country_id,The identifier for the country where the match took place.,integer,Self-evident,Easy
european_football_2,Match,league_id,The identifier for the league associated with the match.,integer,Self-evident,Easy
european_football_2,Match,season,The season during which the match took place.,text,Self-evident,Easy
european_football_2,Match,stage,The stage of the match within the season.,integer,Ambiguity-Prone,Hard
european_football_2,Match,date,The date of the match.,text,Self-evident,Easy
european_football_2,Match,match_api_id,The unique identifier for the match API.,integer,Self-evident,Easy
european_football_2,Match,home_team_api_id,The API ID for the home team in the match.,integer,Self-evident,Easy
european_football_2,Match,away_team_api_id,The API ID of the away team in the match.,integer,Self-evident,Easy
european_football_2,Match,home_team_goal,The number of goals scored by the home team in the match.,integer,Context-Aided,Medium
european_football_2,Match,away_team_goal,The number of goals scored by the away team in the match.,integer,Context-Aided,Medium
european_football_2,Match,home_player_X1,The home player X1 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X2,The home player X2 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X3,The home player X3 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X4,The home player X4 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X5,The home player X5 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X6,The home player X6 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X7,The home player X7 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X8,The home player X8 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X9,The home player X9 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X10,The home player X10 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_X11,The home player X11 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X1,The away player X1 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X2,The away player X2 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X3,The away player X3 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X4,The away player X4 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X5,The away player X5 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X6,The away player X6 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X7,The away player X7 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X8,The away player X8 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X9,The away player X9 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X10,The away player X10 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_X11,The away player X11 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y1,The home player Y1 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y2,The home player Y2 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y3,The home player Y3 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y4,The home player Y4 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y5,The home player Y5 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y6,The home player Y6 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y7,The home player Y7 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y8,The home player Y8 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y9,The home player Y9 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y10,The home player Y10 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_Y11,The home player Y11 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y1,The away player Y1 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y2,The away player Y2 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y3,The away player Y3 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y4,The away player Y4 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y5,The away player Y5 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y6,The away player Y6 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y7,The away player Y7 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y8,The away player Y8 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y9,The away player Y9 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y10,The away player Y10 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_Y11,The away player Y11 in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_1,The ID of the first home player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_2,The player ID of the second home team player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_3,The ID of the third home player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_4,The ID of the fourth home player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_5,The ID of the fifth home player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_6,The ID of the sixth player in the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_7,The ID of the seventh player in the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_8,The ID of the eighth player in the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_9,The ID of the ninth player on the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_10,The ID of the 10th player in the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,home_player_11,The ID of the 11th player in the home team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_1,The ID of the first away team player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_2,The ID of the second away team player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_3,The player ID of the third away team player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_4,The ID of the fourth away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_5,The ID of the fifth away team player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_6,The ID of the sixth away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_7,The ID of the seventh away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_8,The ID of the eighth away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_9,The ID of the ninth away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_10,The ID of the 10th away player in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,away_player_11,The ID of the 11th player on the away team in the match.,,Ambiguity-Prone,Hard
european_football_2,Match,goal,Information of the goals in the match in XML format.,text,Context-Aided,Medium
european_football_2,Match,shoton,The number of shots on goal during the match.,text,Context-Aided,Medium
european_football_2,Match,shotoff,The number of shots that were off target during the match.,text,Context-Aided,Medium
european_football_2,Match,foulcommit,The fouls committed during the match.,text,Context-Aided,Medium
european_football_2,Match,card,Details about the cards given in the match.,text,Context-Aided,Medium
european_football_2,Match,cross,The number of balls sent into the opposition team's area from a wide position.,text,Context-Aided,Medium
european_football_2,Match,corner,Number of corner kicks in the match.,text,Context-Aided,Medium
european_football_2,Match,possession,Information on the possession is in the match in XML format.,text,Context-Aided,Medium
european_football_2,Match,B365H,The home win odds from Bet365.,,Ambiguity-Prone,Hard
european_football_2,Match,B365D,The draw odds provided by Bet365.,,Ambiguity-Prone,Hard
european_football_2,Match,B365A,The betting odds for an away team win from Bet365.,,Ambiguity-Prone,Hard
european_football_2,Match,BWH,The BWH column represents the home win odds provided by the Bet&Win (BWin) bookmaker.,,Ambiguity-Prone,Hard
european_football_2,Match,BWD,The draw odds provided by Bet&Win (BWin) for the match.,,Ambiguity-Prone,Hard
european_football_2,Match,BWA,The betting odds for an away team win from Bet&Win (BWin) for the match.,,Ambiguity-Prone,Hard
european_football_2,Match,IWH,The IWH column represents the home win odds provided by the betting company Interwetten.,,Ambiguity-Prone,Hard
european_football_2,Match,IWD,The draw odds from Interwetten.,,Ambiguity-Prone,Hard
european_football_2,Match,IWA,The IWA column represents the odds for an away team win provided by the Interwetten betting company.,,Ambiguity-Prone,Hard
european_football_2,Match,LBH,The home win odds from the betting company Ladbrokes.,,Ambiguity-Prone,Hard
european_football_2,Match,LBD,The draw odds from the betting company Ladbrokes.,,Ambiguity-Prone,Hard
european_football_2,Match,LBA,The LBA column represents the betting odds for an away team win provided by the betting company LB.,,Ambiguity-Prone,Hard
european_football_2,Match,PSH,The home win odds from Pinnacle Sports.,,Ambiguity-Prone,Hard
european_football_2,Match,PSD,The draw odds from Pinnacle Sports.,,Ambiguity-Prone,Hard
european_football_2,Match,PSA,The odds for an away team win from the betting company Pinnacle Sports.,,Ambiguity-Prone,Hard
european_football_2,Match,WHH,The home win odds from William Hill.,,Ambiguity-Prone,Hard
european_football_2,Match,WHD,The draw odds from William Hill.,,Ambiguity-Prone,Hard
european_football_2,Match,WHA,The odds offered by William Hill for an away team win.,,Ambiguity-Prone,Hard
european_football_2,Match,SJH,The odds for a home win from the Stan James bookmaker.,,Ambiguity-Prone,Hard
european_football_2,Match,SJD,The odds for a draw according to the Stan James betting company.,,Ambiguity-Prone,Hard
european_football_2,Match,SJA,The SJA column represents the odds offered by the betting company Stan James for an away team win.,,Ambiguity-Prone,Hard
european_football_2,Match,VCH,The odds for a home win from the VC Bet bookmaker.,,Ambiguity-Prone,Hard
european_football_2,Match,VCD,The odds for a draw according to the VC Bet betting company.,,Ambiguity-Prone,Hard
european_football_2,Match,VCA,The odds for an away team win from the betting company VC Bet.,,Ambiguity-Prone,Hard
european_football_2,Match,GBH,The home win odds from Gamebookers.,,Ambiguity-Prone,Hard
european_football_2,Match,GBD,The draw odds from Gamebookers.,,Ambiguity-Prone,Hard
european_football_2,Match,GBA,The odds offered by Gamebookers for an away team win.,,Ambiguity-Prone,Hard
european_football_2,Match,BSH,The home win odds from Blue Square.,,Ambiguity-Prone,Hard
european_football_2,Match,BSD,The draw odds from Blue Square.,,Ambiguity-Prone,Hard
european_football_2,Match,BSA,The odds offered by Blue Square for an away team win.,,Ambiguity-Prone,Hard
european_football_2,League,id,This is the unique identifier for each league.,integer,Self-evident,Easy
european_football_2,League,country_id,This is the unique identifier for the country associated with the league.,integer,Self-evident,Easy
european_football_2,League,name,The name of the league.,text,Self-evident,Easy
european_football_2,Country,id,This is the unique identifier for each country.,integer,Self-evident,Easy
european_football_2,Country,name,The name of the country.,text,Self-evident,Easy
european_football_2,Player_Attributes,id,Unique identifier for each player attribute record.,integer,Self-evident,Easy
european_football_2,Player_Attributes,player_fifa_api_id,The unique identifier for a player in the FIFA API.,integer,Self-evident,Easy
european_football_2,Player_Attributes,player_api_id,The unique identifier for the player in the API.,integer,Self-evident,Easy
european_football_2,Player_Attributes,date,The date when the player's attributes were recorded.,text,Ambiguity-Prone,Hard
european_football_2,Player_Attributes,overall_rating,The overall rating of the player.,integer,Self-evident,Easy
european_football_2,Player_Attributes,potential,The potential rating of the player.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,preferred_foot,The player's preferred foot for playing when attacking.,text,Self-evident,Easy
european_football_2,Player_Attributes,attacking_work_rate,The player's attacking work rate.,text,Context-Aided,Medium
european_football_2,Player_Attributes,defensive_work_rate,The player's defensive work rate.,text,Context-Aided,Medium
european_football_2,Player_Attributes,crossing,The player's crossing ability score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,finishing,The player's ability to finish scoring opportunities.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,heading_accuracy,The player's accuracy in heading the ball.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,short_passing,The player's short passing ability score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,volleys,The player's volley score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,dribbling,The player's dribbling ability score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,curve,The player's ability to curve the ball.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,free_kick_accuracy,The player's accuracy in taking free kicks.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,long_passing,The player's long passing score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,ball_control,The player's ball control score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,acceleration,The player's acceleration score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,sprint_speed,The player's sprint speed.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,agility,The player's agility rating.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,reactions,The player's reactions score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,balance,The player's balance score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,shot_power,The player's shot power rating.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,jumping,The player's jumping ability score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,stamina,The player's stamina score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,strength,The player's strength score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,long_shots,The player's long shots score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,aggression,The player's aggression score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,interceptions,The player's ability to intercept passes.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,positioning,The player's positioning score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,vision,The player's vision score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,penalties,The player's penalties score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,marking,The player's marking score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,standing_tackle,The player's ability to perform standing tackles.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,sliding_tackle,The player's sliding tackle score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,gk_diving,The player's goalkeeping diving ability score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,gk_handling,The player's goalkeeping handling score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,gk_kicking,The player's goalkeeping kicking score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,gk_positioning,The player's goalkeeper positioning score.,integer,Context-Aided,Medium
european_football_2,Player_Attributes,gk_reflexes,The player's goalkeeping reflexes score.,integer,Context-Aided,Medium
european_football_2,Team,id,This is the unique identifier for each team.,integer,Self-evident,Easy
european_football_2,Team,team_api_id,The unique identifier for the team in the API.,integer,Self-evident,Easy
european_football_2,Team,team_fifa_api_id,The unique identifier for the team in the FIFA API.,integer,Self-evident,Easy
european_football_2,Team,team_long_name,The full name of the team.,text,Self-evident,Easy
european_football_2,Team,team_short_name,The abbreviated name of the team.,text,Self-evident,Easy
european_football_2,Team_Attributes,id,Unique identifier for each team attribute record.,integer,Self-evident,Easy
european_football_2,Team_Attributes,team_fifa_api_id,The unique identifier for the team in the FIFA API.,integer,Self-evident,Easy
european_football_2,Team_Attributes,team_api_id,The unique identifier for the team in the API.,integer,Self-evident,Easy
european_football_2,Team_Attributes,date,The date when the team attributes were recorded.,text,Ambiguity-Prone,Hard
european_football_2,Team_Attributes,buildUpPlaySpeed,The score of the build up play speed for the team.,integer,Self-evident,Easy
european_football_2,Team_Attributes,buildUpPlaySpeedClass,This is the classification of the team's build-up play speed.,text,Context-Aided,Medium
european_football_2,Team_Attributes,buildUpPlayDribbling,The tendency or frequency of dribbling during build-up play for the team.,integer,Context-Aided,Medium
european_football_2,Team_Attributes,buildUpPlayDribblingClass,The dribbling class during the build-up play for the team.,text,Context-Aided,Medium
european_football_2,Team_Attributes,buildUpPlayPassing,The build up play passing score for the team.,integer,Context-Aided,Medium
european_football_2,Team_Attributes,buildUpPlayPassingClass,The passing style used by the team during the build-up play.,text,Context-Aided,Medium
european_football_2,Team_Attributes,buildUpPlayPositioningClass,The degree of organization or freedom of movement a team has in the first two-thirds of the pitch during build-up play.,text,Context-Aided,Medium
european_football_2,Team_Attributes,chanceCreationPassing,The score of the team's passing strategy during chance creation.,integer,Context-Aided,Medium
european_football_2,Team_Attributes,chanceCreationPassingClass,The classification of the team's passing strategy during chance creation.,text,Context-Aided,Medium
european_football_2,Team_Attributes,chanceCreationCrossing,The score of the team's crosses into the box during chance creation.,integer,Ambiguity-Prone,Hard
european_football_2,Team_Attributes,chanceCreationCrossingClass,The classification of the team's crosses into the box during chance creation.,text,Ambiguity-Prone,Hard
european_football_2,Team_Attributes,chanceCreationShooting,The frequency of shooting opportunities created by the team.,integer,Ambiguity-Prone,Hard
european_football_2,Team_Attributes,chanceCreationShootingClass,This is the classification of the team's shooting strategy during chance creation.,text,Context-Aided,Medium
european_football_2,Team_Attributes,chanceCreationPositioningClass,A team's strategy for player positioning during attacking plays.,text,Context-Aided,Medium
european_football_2,Team_Attributes,defencePressure,Indicates the level of pressure applied by the team's defense.,integer,Context-Aided,Medium
european_football_2,Team_Attributes,defencePressureClass,The classification of the team's defensive pressure strategy.,text,Context-Aided,Medium
european_football_2,Team_Attributes,defenceAggression,The level of aggression in a team's defensive tactics.,integer,Context-Aided,Medium
european_football_2,Team_Attributes,defenceAggressionClass,The classification of a team's defensive aggression level.,text,Context-Aided,Medium
european_football_2,Team_Attributes,defenceTeamWidth,The width of the team's defensive formation.,integer,Ambiguity-Prone,Hard
european_football_2,Team_Attributes,defenceTeamWidthClass,The classification of the team's defensive width strategy.,text,Context-Aided,Medium
european_football_2,Team_Attributes,defenceDefenderLineClass,Classification of the defensive line strategy.,text,Context-Aided,Medium
thrombosis_prediction,Examination,ID,The unique identifier for the patient that has been examined.,integer,Ambiguity-Prone,Hard
thrombosis_prediction,Examination,Examination Date,The date when the examination was conducted.,date,Self-evident,Easy
thrombosis_prediction,Examination,aCL IgG,This is the concentration of anti-Cardiolipin antibody (IgG) observed in the examination of the patient.,real,Self-evident,Easy
thrombosis_prediction,Examination,aCL IgM,The anti-Cardiolipin antibody (IgM) concentration observed in the examination of the patient.,real,Self-evident,Easy
thrombosis_prediction,Examination,ANA,The concentration of anti-nucleus antibodies observed in the examination of the patient.,integer,Self-evident,Easy
thrombosis_prediction,Examination,ANA Pattern,The pattern observed in the ANA examination.,text,Self-evident,Easy
thrombosis_prediction,Examination,aCL IgA,The concentration of anti-Cardiolipin antibody (IgA) observed in the examination of the patient.,integer,Self-evident,Easy
thrombosis_prediction,Examination,Diagnosis,The diagnosis given after the examination of the patient.,text,Self-evident,Easy
thrombosis_prediction,Examination,KCT,The measure of degree of coagulation observed in the examination of the patient.,text,Ambiguity-Prone,Hard
thrombosis_prediction,Examination,RVVT,This is a measure of the degree of coagulation observed in the examination of the patient.,text,Ambiguity-Prone,Hard
thrombosis_prediction,Examination,LAC,The presence of lupus anticoagulant (LAC) observed in the examination of the patient.,text,Self-evident,Easy
thrombosis_prediction,Examination,Symptoms,Details about other symptoms observed in the examination of the patient.,text,Context-Aided,Medium
thrombosis_prediction,Examination,Thrombosis,The degree of thrombosis observed in the examination of the patient.,integer,Context-Aided,Medium
thrombosis_prediction,Laboratory,ID,Identification of the patient assosiated with the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,Date,The date of the laboratory tests.,date,Self-evident,Easy
thrombosis_prediction,Laboratory,GOT,The AST glutamic oxaloacetic transaminase level observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,GPT,The level of ALT glutamic pyruvic transaminase observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,LDH,This is the lactate dehydrogenase level observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,ALP,The level of alkaline phosphatase enzyme observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,TP,The total protein level in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,ALB,The concentration of albumin in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,UA,The uric acid level observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,UN,The concentration of urea nitrogen in the blood observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,CRE,The creatinine level in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,T-BIL,The total bilirubin level in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,T-CHO,The total cholesterol level observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,TG,This is the triglyceride level observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,CPK,Creatinine phosphokinase levels observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,GLU,The blood glucose level observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,WBC,White blood cell count observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,RBC,The count of red blood cells observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,HGB,The hemoglobin level in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,HCT,The percentage of red blood cells in the blood observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,PLT,The platelet count observed in the laboratory test.,integer,Self-evident,Easy
thrombosis_prediction,Laboratory,PT,The prothrombin time observed in the laboratory test.,real,Self-evident,Easy
thrombosis_prediction,Laboratory,APTT,The activated partial prothrombin time observed in the laboratory test.,integer,Self-evident,Easy
